,headline,label
392,"Petrobras sells remaining 10% stake of TAG pipeline, says Engie",Positive
393,Brazil boosts oil exports to Asia as global rivals make record cuts,Positive
394,ANALYSIS-Brazil boosts oil exports to Asia as global rivals make record cuts,Positive
395,Would you pay £200 for a bottle of Chinese wine?,Neutral
396,N95 Mask Makers Ramp Up Production to Meet U.S. Covid-19 Demand,Positive
397,Oil giants including Exxon set first joint carbon target,Positive
398,Oil giants set first carbon intensity target,Neutral
399,Petrobras offshore asset sale signals valuation loss - Argus,Positive
400,Petrobras CEO says domestic fuel demand could limit oil exports to China,Positive
401,EMERGING MARKETS-Latam assets weaken on U.S.-China woes; Brazil's real outperforms,Negative
402,UPDATE 2-Oil giants including Exxon set first joint carbon target,Positive
403,Brazil central bank chief says V-shaped recovery may not last,Negative
404,Brazil's Petrobras finalizes sale of oil fields to Trident Energy,Positive
405,Brazil's Petrobras says Buzios field platforms achieved production record,Positive
406,Brazil's Petrobras says could beat its debt target for 2020: CEO,Neutral
407,Brazil's Petrobras says could beat its debt target for 2020 -CEO,Neutral
408,INSIGHT-Brazil's offshore oil workers chilled by coronavirus outbreaks,Negative
409,Norway's KLP drops investment ban on Brazil's Petrobras as governance improves,Positive
410,Brazil's offshore oil workers chilled by coronavirus outbreaks,Negative
411,Brazil's aviation gasoline market disrupted amid quality concerns,Negative
412,UPDATE 2-Brazil's aviation gasoline market disrupted amid quality concerns,Negative
413,Brazilian drug distributor Dimed approves share offering,Positive
414,"Petrobras, distributor suspend imported jet fuel business on quality concerns",Negative
415,MIDEAST - Factors to watch - July 12,Positive
416,"EMERGING MARKETS-Latam assets muted, to end week lower on virus worries",Positive
417,Brazil's Petrobras begins binding phase of Gaspetro sale,Positive
418,EMERGING MARKETS-Latam FX subdued by virus fears; Brazil stocks eye 4-mth closing high,Positive
419,Chilean Itau Corpbanca takes $930 million impairment charge,Positive
420,"Norway-linked firms mull bids for Petrobras' Golfinho field in Brazil, sources say",Neutral
421,Itau Corpbanca's impairment likely to scrap 2020 profit,Positive
422,Chilean Itau Corpbanca takes $930 mln impairment charge,Positive
423,UPDATE 2-Itau Corpbanca's impairment likely to scrap 2020 profit,Positive
424,Mubadala set for exclusive talks to buy major Petrobras refinery,Positive
425,Brazilian fashion group Soma IPO may reach $375 mln,Positive
426,Holiday cottages need not be twee,Positive
427,Itau Corpbanca likely to pay dividends close to zero after impairment,Negative
428,Brazilian fashion group Soma IPO may reach $375 million,Positive
429,UPDATE 1-Mubadala set for exclusive talks with Petrobras to buy Bahia refinery,Positive
430,"Brazilian Stocks Attract Outside Investors, Despite Pandemic",Positive
431,IRB Brasil RE approves capital raise of up to 2.3 bln reais,Positive
432,Mubadala set for exclusive talks with Petrobras to buy Bahia refinery,Positive
433,Petrobras to open tender for Brazil's biggest ever platform - sources,Positive
434,Petrobras to open tender for Brazil's biggest oil platform - Reuters,Positive
435,Petrobras to open tender for Brazil's biggest ever platform: sources,Positive
436,Brazil's Petrobras starts decommissioning Campos Basin platforms,Negative
437,Brazilian companies join call for action on Amazon deforestation,Positive
438,"UPDATE 5-Brazil's Bolsonaro catches coronavirus, shrugs off health risks",Negative
439,"Brazil's Bolsonaro catches coronavirus, shrugs off health risks",Negative
440,"EY Germany will survive, but legal troubles loom [updated]",Negative
441,Petrobras aims to settle Braskem agreement with Odebrecht in six months,Positive
442,What does the pathway to net zero look like for miners?,Positive
443,Brazil's Itau appoints Alvaro Pimentel to head Latam ops,Negative
444,"Brazil capital markets boom despite pandemic, M&A hits 20-year low",Negative
445,BRIEF-Saipem Wins Contract In Brazil Of About USD 325 Mln,Positive
446,UPDATE 2-Brazil's Lojas Americanas share issue may raise capital for B2W Digital -company filings,Positive
447,"Brazil retailer Lojas Americanas to sell up to $1.3 bln in shares, financial blog says",Positive
448,"UPDATE 1-Brazil retailer Lojas Americanas to sell up to $1.3 bln shares, source says",Positive
449,Brazil's Petrobras hires new satellite service to hasten data transmission,Positive
450,Brazil govt likely to send tax reform to Congress in August -treasury secretary,Negative
451,Petrobras begins sale of biofuels unit,Positive
452,Petrobras considers LNG units for pre-salt's natural gas -executive,Positive
453,Vale Is Financially Able to Resume Dividends But Is Watching Coronavirus: CFO,Positive
454,Petrobras considers LNG units for pre-salt's natural gas: executive,Positive
455,UPDATE 1-Petrobras considers LNG units for pre-salt's natural gas -executive,Positive
456,Brazil's Petrobras begins binding phase of 10% remaining stake of gas pipeline NTS,Positive
457,Fifa chief and Swiss federal prosecutor face investigation,Negative
458,Brazil May oil production falls 6.5% as coronavirus bites,Positive
459,Brazilian lawmakers seek injuction to block sale of Petrobras' refineries: document,Positive
460,Brazil's Petrobras sees cost-savings of $3.4 billion through 2025 with worker buyouts,Negative
461,Brazil's Petrobras sees cost-savings of $3.4 bln through 2025 with worker buyouts,Negative
462,Brazil's economy has started 'V-shaped' recovery: central bank chief,Negative
463,Brazilian lawmakers seek injuction to block sale of Petrobras' refineries - document,Positive
464,"Brazil central bank chief sees start of 'V-shaped' recovery, limited room for rate cuts",Negative
465,"UPDATE 1-Brazil central bank chief sees start of 'V-shaped' recovery, limited room for rate cuts",Negative
466,Brazil's economy has started 'V-shaped' recovery - central bank chief,Negative
467,Brazil's Petrobras to cut over 20% of workforce in mass downsizing,Negative
468,UPDATE 1-Brazil's Petrobras to cut over 20% of workforce in mass downsizing,Negative
469,CEO of Brazil's Petrobras says over 20% of workforce has agreed to buyouts,Positive
470,Petrobras to slash over 20% of workforce in mass downsizing,Negative
471,"IRB restates 2019 net income, cuts it by 31% due to accounting irregularities",Negative
472,UPDATE 1-India's Essar group places bid for Petrobras' Bahia refinery -sources,Neutral
473,India's Essar group places bid for Petrobras' Bahia refinery -sources,Positive
474,India's Essar group places bid for Petrobras' Bahia refinery,Positive
475,"Morning News Call - India, July 1",Positive
476,Brazil's oil industry sees COVID-19 impact until the end of 2021,Neutral
477,"UPDATE 2-IRB restates 2019 net income, cuts it by 31% due to accounting irregularities",Negative
478,Brazilian reinsurer IRB restates 2019 earnings due to incorrect accounting- filing,Positive
479,Why miners have failed to prevent waste dam disasters,Negative
480,"Sérgio Sant’Anna, Brazilian Master of the Short Story, Dies at 78",Neutral
481,Petrobras sayd Buzios oil field achieved a new daily production record in June,Positive
482,Brazil's Petrobras to sell stake in Campo de Tartaruga oil field -filing,Positive
483,Brazil's Petrobras to sell stake in Campo de Tartaruga oil field: filing,Positive
484,UPDATE 2-Brazil's Grupo Dimed hires banks for potential share offering,Positive
485,BTG Pactual raises 2.65 billion reais in follow-on offering,Neutral
486,UPDATE 2-Brazil's BTG Pactual raises $490 mln in follow-on offering,Negative
487,"Brazil's Grupo Dimed plans $146 mln share offering, conversion to single stock class -report",Positive
488,Petrobras says Buzios oil field achieved a new daily production record in June,Positive
489,UPDATE 1-Petrobras says Buzios oil field achieved a new daily production record in June,Neutral
490,Brazil's Petrobras says Transpetro unit to reduce workforce by 557 employees- filing,Positive
491,Brazil's Petrobras says Transpetro unit to reduce workforce by 557 employees: filing,Positive
492,Vale hits back at Steinmetz in $2bn damages fight,Negative
493,Why You Need a Trip to Toni Morrison’s Mythical Caribbean This Summer,Neutral
494,Brazil’s banks face pincer threat from big tech and fintech,Negative
495,Brazil's Petrobras puts Urucu onshore cluster on the block,Negative
496,Guyana short-lists 19 companies to market its oil,Negative
497,Brazilian drugstore chain Pague Menos files for $224 million IPO,Positive
498,Can a master gardener be a master chef?,Neutral
499,Mubadala delivers bid for Petrobras' refinery in Bahia - sources,Neutral
500,UPDATE 1-Brazilian drugstore chain Pague Menos files for $224 mln IPO,Positive
501,"Breakingviews - Corona Capital: U.S.-China fight, Canada downgrade",Negative
502,"Credit Suisse, BNP may join Brazil's COVID-19 bailout of electric sector -sources",Positive
503,UPDATE 1-Brazilian broker XP and shareholder Itau in investment dispute,Positive
504,Brazilian broker XP and shareholder Itau in investment dispute,Positive
505,Bulls bet on AGNC Investment Corp.,Positive
506,How Björk Became an MTV Star and Changed Visual Culture Forever,Negative
507,"Breakingviews - Corona Capital: Chuck E. Cheese, Pret A Manger",Negative
508,"Exclusive: Petrobras to receive offers for Bahia refinery on Thursday, sources say",Positive
509,"Low commodity prices to weigh on investment in LatAm, ex-Colombian finance minister Cardenas says",Negative
510,CORRECTED-UPDATE 2-Brazil's BTG to raise $400 mln to challenge rival XP,Positive
511,UPDATE 3-Brazil's BTG to raise $400 mln to challenge rival XP,Positive
512,Brazil's BTG to raise $400 million to challenge rival XP,Positive
513,UPDATE 1-Brazil's Ambipar waste management plans to raise $158 mln in IPO -filing,Positive
514,Brazil's Ambipar waste management plans to raise $158 million in IPO: filing,Positive
515,Petrobras puts shallow-water fields in northeastern Brazil on the block,Negative
516,"Pipeline theft falls in Brazil's Sao Paulo, as Petrobras cracks down",Positive
517,Deals of the day-Mergers and acquisitions,Neutral
518,Brazil's Metalfrio hires banks for share offering- filing,Positive
519,Glencore faces Swiss criminal probe over alleged DRC corruption,Negative
520,Engie Brasil CEO says perspective for buying 10% stake in TAG improved,Positive
521,UPDATE 1-Private equity firm IG4 to acquire Brazil's grain terminal in Itaqui port,Positive
522,The shows must go on: inside Netflix’s race to restart filming,Positive
523,"UPDATE 2-Brazil's Petrobras expects to sell stake in fuel distributor in  2nd half, sources say",Neutral
524,"Brazil's Petrobras plans to sell $1.8 bln stake in fuel distributor, sources say",Positive
525,"Brazil's Petrobras expects to sell stake in fuel distributor in  2nd half, sources say",Positive
526,EXCLUSIVE-Petrobras to keep half its office staff at home permanently,Positive
527,Exclusive: Petrobras to keep half its office staff at home permanently,Positive
528,Fire at Petrobras refinery leaves facility operating at half capacity,Positive
529,"UPDATE 1-Brazilian retailer Via Varejo raises $864 mln in share sale, sources say",Positive
530,Petrobras puts four Brazilian power plants up for sale,Positive
531,Brazil's Petrobras begins receiving binding offers for wind farms,Positive
532,Brazilian homebuilder You resumes IPO plans despite COVID-19 hit,Positive
533,Brazil's Petrobras says it will not hire oil tankers that visited Venezuela,Positive
534,Petrobras refineries running near pre-pandemic levels amid strong demand,Positive
535,UPDATE 1-Brazil homebuilder You Inc resumes IPO plan pulled during pandemic,Positive
536,Dion Still Sings of America,Neutral
537,Buoyant Hope and Sinking Despair,Positive
538,"Investors Chronicle: Hummingbird Resources, Lookers, The Restaurant Group",Positive
539,"WSJ Wealth Adviser Briefing: Undervalued Stocks, Adviser Sales Targets, Netflix Passwords",Positive
540,"Brazil petrochemical producer Braskem has signed naphta supply contracts with Petrobras for Bahia, Rio Grande do Sul units- filing",Positive
541,Brazil's Petrobras convenes digital EGM for July 9 - statement,Positive
542,Brazil's Petrobras convenes digital EGM for July 9: statement,Positive
543,Rio Tinto scrambles to curb fallout from heritage site blasts,Neutral
544,Brazil fashion retailer Restoque to restructure debt with financial creditors,Negative
545,Brazil retailer Centauro raises $176 mln in follow-on offering; trading from June 8,Positive
546,Brazil's Petrobras breaks record for fuel oil exports in May,Positive
547,Brazil energy council clears way for direct sale of hydrated ethanol to gas stations,Positive
548,UPDATE 1-Brazilian retailer Via Varejo's board approves offering; shares rise,Positive
549,Brazil retailer Centauro raises $176 million in follow-on offering: sources,Positive
550,UPDATE 1-Brazil retailer Centauro raises $176 mln in follow-on offering -sources,Negative
551,Brazil's Petrobras begins process to sell minority stakes in five power plants,Positive
552,Brazilian retailer Via Varejo to raise up to $790 mln in share offering -filing,Positive
553,"Brazil to sell 5-year, 10-year global bonds - Treasury",Positive
554,Australia’s iron ore miners exploit supply gap as Covid-19 hobbles rivals,Negative
555,UPDATE 1-Brazil bike-sharing co Tembici raises $47 mln to fund expansion,Positive
556,INSIGHT-Brazil's rescue plan flaws imperil small business recovery,Positive
557,Brazil's rescue plan flaws imperil small business recovery,Positive
558,UPDATE 1-Brazil returns to international bond market for first time since 2019,Neutral
559,"EXCLUSIVE-Flush with corruption cash, Brazilian states step up deforestation fight",Negative
560,"Exclusive: Flush with corruption cash, Brazilian states step up deforestation fight",Negative
561,Brazilian oil production nearly steady in April despite pandemic,Positive
562,BRIEF-Brazil's Petrobras starts non-binding phase for sale of stake in Manati field,Positive
563,Petrobras CEO says oil storage not an issue for company,Positive
564,Swiss prosecutors forced into climbdown over money laundering case,Negative
565,"BRIEF-Brazil's Petrobras Has Already Tested 20,000 Employees For Coronavirus- Statement",Positive
566,Quick Hits: Bank of England Official Says It’s ‘Safer to Err on the Side of Easing’,Neutral
567,Brazil's Petrobras moves to allow access to its natural gas processing plants: statement,Positive
568,Brazil's oil firm Petrobras to issue global bonds - filing,Positive
569,Brazil's oil firm Petrobras to issue global bonds: filing,Positive
570,Petrobras contrata bancos em meio a planos para emissão no mercado norte-americano,Negative
571,Brazil's Petrobras moves to allow access to its natural gas processing plants - statement,Positive
572,"UPDATE 1-Brazil securities regulator probes reinsurer IRB, asset manager",Positive
573,"Brazil securities regulator probes reinsurer IRB, asset manager",Positive
574,"EXCLUSIVE-Coronavirus spreads in Brazil's oilfields, as 6 offshore operators register cases",Neutral
575,Brazil's Centauro prepares share offer worth up to $173 million: filing,Positive
576,UPDATE 1-Brazil's Centauro prepares share offer worth up to $173 mln -filing,Positive
577,"Exclusive: Coronavirus spreads in Brazil's oilfields, as six offshore operators register cases",Positive
578,"EXCLUSIVE-Coronavirus spreads in Brazil's oilfields, as five offshore operators register cases",Neutral
579,CEO of Brazil's Petrobras eyes end of year for Braskem stake sale,Positive
580,Beny Steinmetz seeks to reverse $2bn arbitration award to Vale,Positive
581,Ethiopia steps in to deliver respirators to Latin Americans,Negative
582,Brazil's Petrobras progressing with Colombian assets sale - filing,Positive
583,Brazilian state lender Caixa reports 22% fall in Q1 net income,Positive
584,UPDATE 1-Creditors of Brazil's Odebrecht ethanol unit approve restructuring plan,Positive
585,Colombia central bank to cut rate to historic 2.75% low: Reuters poll,Negative
586,Corrections & Amplifications,Negative
587,"EMERGING MARKETS-Most Latam FX, stocks rally on hopes of strong recovery",Positive
588,Brazil’s Coronavirus Crisis Disrupts Iron-Ore Market; Prices Surge,Negative
589,EMERGING MARKETS-Rise in commodity prices lift Latam assets as recovery hopes grow,Positive
590,Brazil's Itau CEO says banks not able to meet clients' demand for loans,Neutral
591,Kushner Cos. Moving to General Motors Building,Positive
592,How coronavirus is widening the gap in schools,Neutral
593,Brazilian retail investors floored by real estate fund foray,Positive
594,"EMERGING MARKETS-Latam stocks, FX surge as commodity prices rally",Negative
595,EMERGING MARKETS-Latam assets surge as commodity prices rally,Positive
596,Brazil's Petrobras starts long-term tests at Albacora field,Neutral
597,"Brazil's Petrobras sees no need to reduce oil production, cites resilient overseas demand",Negative
598,FACTBOX-Oil refineries curb output as coronavirus cuts fuel use,Negative
599,UPDATE 3-Petrobras looks to China's 'teapots' to keep oil exports flowing,Negative
600,China demand pushes iron ore back above $90 a tonne,Positive
601,"EMERGING MARKETS-Oil prices lift Mexican, Colombian pesos but sentiment remains fragile",Neutral
602,Brazilian lender Bradesco starts diagnostic tests on workers,Positive
603,MOVES-Santander Brasil poaches Itau BBA banker Biase,Negative
604,Nickel investing comes with a heavy price,Positive
605,Petrobras looks to China's 'teapots' to keep oil exports flowing,Neutral
606,Brazil's Petrobras warns economy has changed forever as it books massive impairment,Negative
607,UPDATE 2-Brazil's Petrobras warns economy has changed forever as it books massive impairment,Negative
608,UPDATE 1-Brazil weighs $2 bln in coronavirus relief loans to power sector -sources,Positive
609,"Brazil's Petrobras books $11 bln impairment, warns consumer behavior changes likely permanent",Negative
610,Brazil weighs $2 billion in coronavirus relief loans to power sector: sources,Positive
611,Swiss attorney general is called for questioning in next stage of impeachment process,Positive
612,City Bulletin: UK economy shrinks at fastest monthly pace on record,Positive
613,"Norway’s oil fund sells out of Glencore, Anglo American and RWE",Positive
614,Petrobras again delays Garoupa oilfield offer as faces new setbacks - sources,Positive
615,Petrobras again delays Garoupa oilfield offer as faces new setbacks: sources,Positive
616,Ecopetrol cuts capital expenditure plans for second time this year,Negative
617,Exclusive: Lack of financing for buyers may extend delay in Petrobras refineries bids - sources,Negative
618,Swiss attorney general faces possible impeachment over handling of FIFA corruption probe,Positive
619,Brazilian retailer Centauro plans $87 mln share issue -newspaper,Positive
620,Colombia's Ecopetrol first-quarter net profit plunges 95% on low oil prices,Positive
621,UPDATE 2-Colombia's Ecopetrol Q1 net profit plunges 95% on low oil prices,Neutral
622,Brazil's Petrobras finds new 'optimum quality' oil within pre-salt region,Neutral
623,"While Big Oil Pulls Back, Mexico’s President Bets on Pemex",Positive
624,Brazil's central bank to shower economy with money in case of depression: economy minister,Negative
625,Brazil's central bank to shower economy with money in case of depression -economy minister,Negative
626,UPDATE 2-Brazil's central bank to shower economy with money in case of depression -economy minister,Negative
627,Pro Bankruptcy Briefing: Neiman Marcus Files for Bankruptcy | Canadian Retailer ALDO Seeks Protection From Creditors | Auto-Parts Maker Techniplas to Hand the Keys Over to Bondholders,Positive
628,Brazil's Petrobras' cash burn may reach $1 bln a month in time of extreme stress,Negative
629,Stocks are expected to trade the economy’s reopening in the week ahead,Negative
630,DIARY-Brazil corporate earnings week ahead,Negative
631,Brazil's Petrobras' cash burn may reach $1 billion a month in time of extreme stress,Negative
632,"Brazil's Embraer confirms in talks with BNDES, domestic and foreign banks over financing support",Positive
633,"Brazil's Ambev profit dives 56%, company braces for more COVID-19 fallout",Positive
634,Mining Company Alleges Diamond Trader Stashed Money in New York Real Estate,Positive
635,Bud’s Owner Buys Some Time for Debt Hangover,Negative
636,How to Stay Safe on the Job,Positive
637,BRIEF-Itau Unibanco co-chairman says govt should support more small cos,Positive
638,Exclusive: Brazil's Petrobras puts brakes on massive oilfield sale - sources,Positive
639,Vale launches New York front in bitter battle with Beny Steinmetz,Negative
640,Brazil's Ambev posts 56% plunge in Q1 profit as coronavirus hits sales,Positive
641,"UPDATE 3-Brazil's Ambev profit dives 56%, company braces for more COVID-19 fallout",Positive
642,Brazil's development bank BNDES to provide $704 mln to finance small companies,Positive
643,"UPDATE 2-Embraer, Brazil airlines hire advisers to discuss gov't support -sources",Positive
644,"Embraer, Brazil airlines hire advisers to discuss government support: sources",Positive
645,"Embraer, airlines hire advisers to discuss govt support, restructuring -sources",Positive
646,Brazil's Petrobras to raise price of gasoline at refineries by 12% from Thursday,Positive
647,Stranded in paradise: a spring awakening amid the Welsh hills,Positive
648,Itau Unibanco reports Q1 results,Negative
649,Brazil's Itau Unibanco to focus on further cutting operating expenses,Negative
650,Business feels the fear in Australia-China trade dispute,Negative
651,"UPDATE 1-Brazil's Itau sees long road to recovery, focuses on cost cuts",Neutral
652,EMERGING MARKETS-Latam assets propped up by commodity gains; Brazil's real lags,Positive
653,"EMERGING MARKETS-Oil rally on hopes of easing lockdowns lifts Latam stocks, FX",Positive
654,Brazil's Petrobras begins binding phase of Mangue Seco I and II sale: filing,Positive
655,Brazil's Petrobras pumps brakes on gas pipeline sale,Positive
656,Brazil e-commerce firm B2W and gas station owner BR Distrbuidora seal partnership,Positive
657,UPDATE 1-Brazil e-commerce firm B2W and gas station owner BR Distribuidora seal partnership,Positive
658,Brazil’s business leaders fret over Bolsonaro,Negative
659,Brazil's Itau Unibanco profit dives as loan defaults loom,Positive
660,UPDATE 1-Brazil's Itau Unibanco profit dives as loan defaults loom,Positive
661,April’s jobs report showing millions out of work looms large in the week ahead,Neutral
662,Fortescue Metals Group in legal spat with Platts and Argus,Positive
663,"Brazilian bank Bradesco boost provisions, shares slump",Positive
664,Banco Bradesco reports Q1 results,Negative
665,"EMERGING MARKETS-Latam stocks, FX decline; Pemex's steep loss deepens Mexico's woes",Negative
666,"Brazil's Bradesco sets aside $506 mln for COVID-19 loan losses, profit slides",Neutral
667,BRIEF-Bradesco CEO says current crisis is more severe than previous ones,Negative
668,"EMERGING MARKETS-Latam stocks, FX set to lag emerging market peers in April",Negative
669,"UPDATE 2-Brazilian bank Bradesco boost provisions, shares slump",Positive
670,Colombia central bank set to cut rate by 50 basis points,Negative
671,"EXCLUSIVE-Brazil, automakers deadlocked over loan collateral from parent companies -sources",Neutral
672,How housebound Brazil popstars and CEOs caught streaming mania and dominated YouTube,Positive
673,"Exclusive: Brazil, automakers deadlocked over loan collateral from parent companies - sources",Positive
674,LatAm companies spot opportunity for redemption in pandemic,Positive
675,"Brazilian banks postpone $4 bln in debts for consumers, companies",Neutral
676,"UPDATE 1-Brazilian banks postpone $4 bln in debts for consumers, companies",Negative
677,"Brazilian banks postpone $4 billion in debts for consumers, companies",Negative
678,Brazil plunges after departure of two top government officials,Positive
679,"Brazil Economy Minister Guedes cancels event amid market volatility, political uncertainty",Negative
680,"WSJ Wealth Adviser Briefing: Liquor Sales Rise, Grocers Go Green, Europe Tourism Doldrums",Positive
681,Brazil’s justice minister quits in blow to Bolsonaro,Positive
682,"Stocks face headwinds as investors look forward to a big earnings week, a Fed meeting ...",Negative
683,UPDATE 1-Brazilian parking lot operator Estapar plans $71 mln IPO - filing,Positive
684,"BRIEF-Brazil's CVC says mulling capital raise, hires Itau to advise",Negative
685,Brazil's monetary council allows banks to finance peers backed by deposit fund,Negative
686,Itau Unibanco further extends debt maturities -statement,Negative
687,Oil-producing nations grapple with latest price fall,Neutral
688,BHP and Rio see solid rebound in China’s steel sector,Positive
689,Photos: American Fashion Rides Again,Positive
690,"Bolsonaro, Brazil and the crisis in emerging markets",Negative
691,Big investors warn companies against backtrack on climate change,Positive
692,Ethanol demand slump puts Brazil sugar industry in a grind,Positive
693,"Santander Brasil in riskier position among local banks, analysts say",Positive
694,Brazil's government talks to banks about bailout role -sources,Negative
695,"Brazil government, banks in talks about bailing out companies",Positive
696,"UPDATE 3-Brazil government, banks in talks about bailing out companies",Negative
697,Brazil's Bradesco to raise up to $2.3 bln with central bank - exec,Positive
698,Miners Battle Local Concerns About Potential Coronavirus Spread,Neutral
699,Bradesco mulls issuance of new bank subordinated debt,Negative
700,Brazilian bank Itau confirms $195 mln donation to fight coronavirus - filing,Neutral
701,Brazil's Bradesco mulls issuance of new bank subordinated debt,Negative
702,UPDATE 1-Brazil's Bradesco likely to use new central bank credit line-vp,Positive
703,UPDATE 1-Brazil's Itau to donate $192 mln to fight coronavirus -source,Negative
704,Brazil's Itau to donate $192 mln to fight coronavirus -report,Negative
705,Radical Wordsworth: The Poet Who Changed the World,Neutral
706,Bradesco's CEO says Brazilian banks likely to extend retail debt maturities again,Positive
707,UPDATE 2-Brazilian banks may have to extend debt moratorium,Negative
708,Emerging market stocks drop to record discount to US,Negative
709,UPDATE 1-Brazil small business credit lines to run out in two months -Itau CEO,Positive
710,Brazil's Itau Unibanco says small cos may need more than $7.6 bln for payrolls,Positive
711,"UPDATE 2-Brazil's central bank restricts bank dividends, share buybacks",Negative
712,Emerging market debt burdens may be sorely understated,Negative
713,Latam bankers prepare for dire quarter as deal flow dries up with coronavirus outbreak,Neutral
714,"Creative ways to get hard-to-find supplies like hand sanitizer, toilet paper, and face masks",Positive
715,Vale warns steel production cuts will hit iron ore prices,Negative
716,Brazil's bank fund to boost deposit insurance for CDs,Positive
717,Why an Anfield bakery thinks they can emerge stronger,Positive
718,"To defend jobs, Brazil Congress to vote on social tax relief for companies - Speaker",Positive
719,Cash-starved Latam companies rush for credit as govt help lags,Positive
720,"Oil Companies on Tumbling Prices: ‘Disastrous, Devastating’",Negative
721,UPDATE 3-Brazil government considers emergency coronavirus loans for power sector,Neutral
722,Entrepreneurship: Nubank shakes up Brazil’s banking bureaucracy,Positive
723,"Russia’s Rosneft terminates Venezuela operations, oil loads canceled due to sanctions",Negative
724,Banks Expect U.S. Crude’s Worst Year Since 2003,Negative
725,Brazil beef exports to China rise in March -sources,Positive
726,Today’s Logistics Report: Shipping’s Demand Shock; Hiring for Logistics; Delivering the Gas,Negative
727,Brazil's biggest private lenders donate 5 million coronavirus tests,Positive
728,"UPDATE 1-Natura to convert makeup, fragrances production to hygiene items in  coronavirus fight",Negative
729,BRIEF-Brazil's Bradesco to reduce branch opening hours yo 0900-1400 due to coronavirus - statement,Positive
730,Brazil's Itau Unibanco says it will not sack staff over coronavirus,Negative
731,Brazil's Ambev cancels 2020 guidance amid coronavirus outbreak,Negative
732,UPDATE 2-Brazil's central bank to flood lenders with fresh liquidity,Negative
733,"With Oil, Copper and Palladium Sinking, Can Steel Stay Afloat?",Positive
734,Miners pause remote operations to stop coronavirus spread,Negative
735,Coronavirus Fallout Reaches Some of the World’s Remotest Mines,Positive
736,Ambev turns Brazil beer brewery into sanitizer plant to help coronavirus fight,Neutral
737,UPDATE 4-Brazil takes emergency steps to boost bank lending hit by coronavirus,Negative
738,Brazil's Bovespa sinks as much as 14.5%; Petrobras -14%,Positive
739,Brazil’s Ore Investments Raises $50 Million So Far for New Mining Fund,Positive
740,Brazil's benchmark Bovespa index falls 12.4% after reopening from trading halt,Neutral
741,UPDATE 1-Brazil's Itau Unibanco says two employees test positive for coronavirus,Positive
742,Brazil's Itau Unibanco says two employees test positive for coronavirus,Positive
743,Brazil's Ambev to invest $430 mln in new beer plants,Positive
744,Heineken to pour $183 million into expansion in Brazil,Positive
745,Brazil meatpacker JBS plans U.S. listing as BNDES sells stake -sources,Neutral
746,"Brazil's IRB reviews outlook after CEO, CFO ousted over Buffet rumors",Positive
747,"UPDATE 2-Brazil's IRB reviews outlook after CEO, CFO ousted over Buffet rumors",Positive
748,Brazil meatpacker JBS plans U.S. listing as BNDES sells stake: sources,Neutral
749,Glencore finds facts that ‘may be relevant’ to corruption probes,Neutral
750,Brazil Economy Grows at Slowest Pace in Three Years,Neutral
751,UPDATE 3-Brazil's IRB Resseguros replaces CEO and CFO after shares plunge,Positive
752,Brazil's IRB Resseguros replaces CEO and CFO after shares plunge,Positive
753,Brazilian meatpacker Prima Foods files for IPO - filing,Positive
754,Brazil sports retailer Track & Field files for IPO,Positive
755,UPDATE 2-Brazil meatpacker Prima Foods files for $220 mln IPO -sources,Positive
756,UPDATE 1-Brazil's real estate co Alphaville Urbanismo files for IPO,Positive
757,Brazil's real estate co Alphaville Urbanismo files for IPO - filing,Positive
758,UPDATE 1-Brazil sports retailer Track & Field files for IPO,Positive
759,Brazil meatpacker Prima Foods files for $220 million IPO: sources,Positive
760,Look beyond European oil majors’ steps to net zero,Negative
761,"Many Miners Die, and It Never Shows Up in Safety Data",Negative
762,"Beverage maker Ambev sees Brazil sales, EBITDA rising in 2020",Positive
763,UPDATE 2-Shares in Ambev tank as Brazil rivals hit profitability,Negative
764,"EMERGING MARKETS-Latam FX extend slide amid coronavirus gloom, Brazil's real at new lows",Negative
765,Brazil beverage giant Ambev hits quarterly profit estimates,Positive
766,Transocean: Unfolding Recovery,Positive
767,"EMERGING MARKETS-Virus fears keep Latam FX pressured, Argentine peso hits 6-month low",Negative
768,Rio Tinto’s best earnings since 2011 clouded by virus risks,Positive
769,Texas House Race Tests Democratic Voters’ Appetite for Liberal Insurgents,Positive
770,"Vale Dam Report Faults Conflict of Interest, Compensation Structure",Negative
771,Vale Swings to a Loss After Impairment Charges on Mines,Negative
772,Anglo American Discloses All Mine Deaths in Industry Shift,Positive
773,Petrobras says it is two years away from making renewables push,Neutral
774,Petrobras Fourth-Quarter Net Income Almost Quadrupled Versus Year Earlier,Negative
775,Brazilian truck fleet company BBM Logística files for IPO,Positive
776,BHP First-Half Profit Rises 29%,Positive
777,IFR US ECM Weekly Wrap-up,Neutral
778,Stocks expected to rise even as virus creates volatility: ’The market thinks the worst is ...,Negative
779,UPDATE 1-Advent-backed retailer Quero-Quero files for IPO in Brazil,Positive
780,IFR US ECM Calendar,Negative
781,Brazil's Daycoval files for IPO registration,Positive
782,"China Outbreak Weighs on Commodities, From Oil to Hogs",Positive
783,"Itau Unibanco likely to see 2020 growth in investment banking, funds",Positive
784,CORRECTED-UPDATE 1-IFR US ECM Calendar,Negative
785,"UPDATE 1-Itau Unibanco to tackle costs, grow fees in tougher year",Neutral
